method,dimension,segment,kpi,n,true_cate,predicted_cate
global_mean,budget_bucket,0,impressions,782,0,0
global_mean,budget_bucket,0,clicks,782,-0.0162404092072,0
global_mean,budget_bucket,0,conversions,782,0,0
global_mean,budget_bucket,0,revenue,782,-0.0532225063939,0
global_mean,budget_bucket,1,impressions,730,5.80410958904,0
global_mean,budget_bucket,1,clicks,730,0.061095890411,0
global_mean,budget_bucket,1,conversions,730,0.00027397260274,0
global_mean,budget_bucket,1,revenue,730,0.152575342466,0
global_mean,budget_bucket,2,impressions,351,147.512250712,0
global_mean,budget_bucket,2,clicks,351,1.61709401709,0
global_mean,budget_bucket,2,conversions,351,0.0367521367521,0
global_mean,budget_bucket,2,revenue,351,3.46868945869,0
global_mean,budget_bucket,3,impressions,137,522.545255474,0
global_mean,budget_bucket,3,clicks,137,5.58686131387,0
global_mean,budget_bucket,3,conversions,137,0.0613138686131,0
global_mean,budget_bucket,3,revenue,137,13.6401459854,0
global_mean,kol_tier,macro,impressions,7,156.428571429,0
global_mean,kol_tier,macro,clicks,7,2,0
global_mean,kol_tier,macro,conversions,7,0.0285714285714,0
global_mean,kol_tier,macro,revenue,7,5.56857142857,0
global_mean,kol_tier,micro,impressions,755,83.0421192053,0
global_mean,kol_tier,micro,clicks,755,0.850066225166,0
global_mean,kol_tier,micro,conversions,755,0.0153642384106,0
global_mean,kol_tier,micro,revenue,755,1.90017218543,0
global_mean,kol_tier,mid,impressions,68,-70.7720588235,0
global_mean,kol_tier,mid,clicks,68,-1.17647058824,0
global_mean,kol_tier,mid,conversions,68,-0.0176470588235,0
global_mean,kol_tier,mid,revenue,68,-3.69588235294,0
global_mean,kol_tier,nano,impressions,1170,58.6523076923,0
global_mean,kol_tier,nano,clicks,1170,0.674444444444,0
global_mean,kol_tier,nano,conversions,1170,0.00931623931624,0
global_mean,kol_tier,nano,revenue,1170,1.65271794872,0
global_mean,niche,beauty,impressions,219,70.8639269406,0
global_mean,niche,beauty,clicks,219,0.518721461187,0
global_mean,niche,beauty,conversions,219,0.00684931506849,0
global_mean,niche,beauty,revenue,219,0.854063926941,0
global_mean,niche,beverage,impressions,171,88.3187134503,0
global_mean,niche,beverage,clicks,171,1.03099415205,0
global_mean,niche,beverage,conversions,171,0.0169590643275,0
global_mean,niche,beverage,revenue,171,2.6865497076,0
global_mean,niche,electronics,impressions,174,35.4304597701,0
global_mean,niche,electronics,clicks,174,0.418390804598,0
global_mean,niche,electronics,conversions,174,0.00747126436782,0
global_mean,niche,electronics,revenue,174,0.855862068966,0
global_mean,niche,fashion,impressions,199,74.6934673367,0
global_mean,niche,fashion,clicks,199,0.804020100503,0
global_mean,niche,fashion,conversions,199,0.0115577889447,0
global_mean,niche,fashion,revenue,199,2.0556281407,0
global_mean,niche,fitness,impressions,225,56.2648888889,0
global_mean,niche,fitness,clicks,225,0.8,0
global_mean,niche,fitness,conversions,225,0.0115555555556,0
global_mean,niche,fitness,revenue,225,1.66871111111,0
global_mean,niche,food,impressions,194,71.1051546392,0
global_mean,niche,food,clicks,194,0.732989690722,0
global_mean,niche,food,conversions,194,0.0123711340206,0
global_mean,niche,food,revenue,194,1.74742268041,0
global_mean,niche,home,impressions,214,69.7565420561,0
global_mean,niche,home,clicks,214,0.52523364486,0
global_mean,niche,home,conversions,214,0.00981308411215,0
global_mean,niche,home,revenue,214,1.43364485981,0
global_mean,niche,parenting,impressions,193,60.3398963731,0
global_mean,niche,parenting,clicks,193,0.69274611399,0
global_mean,niche,parenting,conversions,193,0.0103626943005,0
global_mean,niche,parenting,revenue,193,1.9885492228,0
global_mean,niche,pet,impressions,196,45.2785714286,0
global_mean,niche,pet,clicks,196,0.402551020408,0
global_mean,niche,pet,conversions,196,0.00816326530612,0
global_mean,niche,pet,revenue,196,0.526020408163,0
global_mean,niche,travel,impressions,215,65.3479069767,0
global_mean,niche,travel,clicks,215,0.906976744186,0
global_mean,niche,travel,conversions,215,0.013023255814,0
global_mean,niche,travel,revenue,215,2.06227906977,0
global_mean,arm_x_kol_tier,0->1|micro,impressions,551,0.0967332123412,0
global_mean,arm_x_kol_tier,0->1|micro,clicks,551,-0.00816696914701,0
global_mean,arm_x_kol_tier,0->1|micro,conversions,551,0,0
global_mean,arm_x_kol_tier,0->1|micro,revenue,551,-0.0367876588022,0
global_mean,arm_x_kol_tier,0->1|nano,impressions,905,0,0
global_mean,arm_x_kol_tier,0->1|nano,clicks,905,-0.0060773480663,0
global_mean,arm_x_kol_tier,0->1|nano,conversions,905,0,0
global_mean,arm_x_kol_tier,0->1|nano,revenue,905,0.00906077348066,0
global_mean,arm_x_kol_tier,1->2|micro,impressions,204,307.075980392,0
global_mean,arm_x_kol_tier,1->2|micro,clicks,204,3.1681372549,0
global_mean,arm_x_kol_tier,1->2|micro,conversions,204,0.056862745098,0
global_mean,arm_x_kol_tier,1->2|micro,revenue,204,7.1318627451,0
global_mean,arm_x_kol_tier,1->2|nano,impressions,265,258.955471698,0
global_mean,arm_x_kol_tier,1->2|nano,clicks,265,2.99849056604,0
global_mean,arm_x_kol_tier,1->2|nano,conversions,265,0.0411320754717,0
global_mean,arm_x_kol_tier,1->2|nano,revenue,265,7.26596226415,0
global_mean,arm_x_kol_tier,2->3|macro,impressions,7,156.428571429,0
global_mean,arm_x_kol_tier,2->3|macro,clicks,7,2,0
global_mean,arm_x_kol_tier,2->3|macro,conversions,7,0.0285714285714,0
global_mean,arm_x_kol_tier,2->3|macro,revenue,7,5.56857142857,0
global_mean,arm_x_kol_tier,2->3|mid,impressions,49,63.0346938776,0
global_mean,arm_x_kol_tier,2->3|mid,clicks,49,0.569387755102,0
global_mean,arm_x_kol_tier,2->3|mid,conversions,49,0,0
global_mean,arm_x_kol_tier,2->3|mid,revenue,49,0.874489795918,0
global_mean,arm_x_kol_tier,3->0|mid,impressions,19,-415.852631579,0
global_mean,arm_x_kol_tier,3->0|mid,clicks,19,-5.67894736842,0
global_mean,arm_x_kol_tier,3->0|mid,conversions,19,-0.0631578947368,0
global_mean,arm_x_kol_tier,3->0|mid,revenue,19,-15.4826315789,0
arm_mean,budget_bucket,0,impressions,782,0,347.464979144
arm_mean,budget_bucket,0,clicks,782,-0.0162404092072,3.69529794016
arm_mean,budget_bucket,0,conversions,782,0,0.0426823569455
arm_mean,budget_bucket,0,revenue,782,-0.0532225063939,6.06107958921
arm_mean,budget_bucket,1,impressions,730,5.80410958904,347.442816661
arm_mean,budget_bucket,1,clicks,730,0.061095890411,3.69506943182
arm_mean,budget_bucket,1,conversions,730,0.00027397260274,0.0426782822347
